Found 黄: 黄金 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 眉: 娥眉 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 眉: 蛾眉 -> {'score': 1, 'category': 'positive_mild', 'source': 'llm_rated_v3'}
Found 约: 绰约 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 画: 丛画晚 -> {'score': -1, 'category': 'negative_mild', 'source': 'llm_rated_v3'}
Found 画: 丛画晚芽 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 余画五 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 余画五松 -> {'score': 1, 'category': 'positive_mild', 'source': 'llm_rated_v3'}
Found 画: 催画 -> {'score': -1, 'category': 'negative_mild', 'source': 'llm_rated'}
Found 画: 入画 -> {'score': 1, 'category': 'positive_mild', 'source': 'llm_rated_v3'}
Found 画: 入画图 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 画: 千回画 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 卖画难 -> {'score': -3, 'category': 'negative_strong', 'source': 'llm_rated'}
Found 画: 娇容易画 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 画: 客要余画 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 容易画 -> {'score': 1, 'category': 'positive_mild', 'source': 'llm_rated_v3'}
Found 画: 昔人画 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 春丛画 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 画: 画五松 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 画晚芽 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 画贱 -> {'score': -2, 'category': 'negative_moderate', 'source': 'llm_rated'}
Found 画: 索画 -> {'score': -1, 'category': 'negative_mild', 'source': 'llm_rated'}
Found 画: 老夫卖画 -> {'score': -2, 'category': 'negative_moderate', 'source': 'llm_rated'}
Found 画: 臣非老画师 -> {'score': -3, 'category': 'negative_strong', 'source': 'llm_rated'}
Found 画: 要余画 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 画: 要余画五 -> {'score': 0, 'category': 'neutral', 'source': 'llm_rated_v3'}
Found 神: 入神 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 神: 有精神 -> {'score': 3, 'category': 'positive_strong', 'source': 'llm_rated_v3'}
Found 神: 神仙 -> {'score': 3, 'category': 'positive_strong', 'source': 'llm_rated_v3'}
Found 神: 精神 -> {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
Found 衰: 衰年 -> {'score': -2, 'category': 'negative_moderate', 'source': 'llm_rated'}
Found 衰: 衰败 -> {'score': -3, 'category': 'negative_strong', 'source': 'llm_rated'}
平安: {'score': 4, 'category': 'positive_strong', 'source': 'llm_rated'}
春风: {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
东风: {'score': 2, 'category': 'positive_moderate', 'source': 'llm_rated_v3'}
高峰: {'score': 3, 'category': 'positive_strong', 'source': 'llm_rated_v3'}
